planid,komnr,doklink
1060985,230,https://dokument.plandata.dk/20_1060985_APPROVED_1197027175331.pdf
1061725,230,https://dokument.plandata.dk/20_1061725_APPROVED_1294840952287.pdf
1061033,230,https://dokument.plandata.dk/20_1061033_APPROVED_1197281815172.pdf
1086460,230,https://dokument.plandata.dk/20_1086460_1507547188263.pdf
3286669,230,https://dokument.plandata.dk/20_3286669_1507616075653.pdf
1061176,230,https://dokument.plandata.dk/20_1061176_APPROVED_1197538117896.pdf
1178415,230,https://dokument.plandata.dk/20_1178415_APPROVED_1243429116807.pdf
1178416,230,https://dokument.plandata.dk/20_1178416_APPROVED_1243429173196.pdf
3806598,173,https://dokument.plandata.dk/20_3806598_1535701802193.pdf
1205736,230,https://dokument.plandata.dk/20_1205736_1496926608666.pdf
1206267,230,https://dokument.plandata.dk/20_1206267_APPROVED_1246972801711.pdf
1178689,230,https://dokument.plandata.dk/20_1178689_APPROVED_1243431444512.pdf
1206257,230,https://dokument.plandata.dk/20_1206257_APPROVED_1246972065534.pdf
1213525,230,https://dokument.plandata.dk/20_1213525_APPROVED_1249564716141.pdf
3806521,253,https://dokument.plandata.dk/20_3806521_1517279023080.pdf
3806513,253,https://dokument.plandata.dk/20_3806513_1517279019812.pdf
1206273,230,https://dokument.plandata.dk/20_1206273_APPROVED_1246973096219.pdf
1207296,230,https://dokument.plandata.dk/20_1207296_APPROVED_1247044443661.pdf
1177633,230,https://dokument.plandata.dk/20_1177633_APPROVED_1243416623968.pdf
1177784,230,https://dokument.plandata.dk/20_1177784_APPROVED_1243422538058.pdf
1177579,230,https://dokument.plandata.dk/20_1177579_APPROVED_1243416283819.pdf
1177958,230,https://dokument.plandata.dk/20_1177958_APPROVED_1243424776671.pdf
1178241,230,https://dokument.plandata.dk/20_1178241_APPROVED_1243426476045.pdf
1177554,230,https://dokument.plandata.dk/20_1177554_APPROVED_1243416180493.pdf
1177567,230,https://dokument.plandata.dk/20_1177567_APPROVED_1243416228414.pdf
1177542,230,https://dokument.plandata.dk/20_1177542_APPROVED_1243416135322.pdf
175964,169,https://dokument.plandata.dk/20_175964_APPROVED_1162452751232.pdf
3153082,169,https://dokument.plandata.dk/20_3153082_1472804607354.pdf
176083,169,https://dokument.plandata.dk/20_176083_APPROVED_1162453009053.pdf
